iter	Passed	Remaining
0	49	4875
1	105	5180
2	155	5039
3	210	5049
4	262	4988
5	315	4949
6	366	4868
7	421	4841
8	468	4740
9	525	4728
10	591	4785
11	656	4816
12	715	4790
13	765	4704
14	850	4821
15	901	4734
16	950	4639
17	1000	4556
18	1057	4506
19	1108	4435
20	1158	4357
21	1208	4286
22	1262	4226
23	1329	4211
24	1380	4141
25	1427	4064
26	1476	3992
27	1522	3914
28	1574	3854
29	1627	3796
30	1680	3739
31	1728	3673
32	1778	3611
33	1824	3542
34	1888	3506
35	1942	3453
36	2012	3426
37	2064	3368
38	2125	3324
39	2185	3278
40	2241	3226
41	2295	3170
42	2343	3105
43	2394	3047
44	2442	2985
45	2489	2922
46	2536	2860
47	2579	2794
48	2629	2737
49	2672	2672
50	2724	2617
51	2784	2570
52	2837	2516
53	2901	2471
54	2956	2418
55	3007	2362
56	3070	2316
57	3123	2262
58	3180	2209
59	3234	2156
60	3284	2099
61	3332	2042
62	3380	1985
63	3432	1930
64	3477	1872
65	3529	1818
66	3572	1759
67	3620	1703
68	3677	1652
69	3729	1598
70	3776	1542
71	3820	1485
72	3870	1431
73	3981	1398
74	4108	1369
75	4176	1318
76	4381	1308
77	4445	1253
78	4531	1204
79	4599	1149
80	4686	1099
81	4756	1044
82	4946	1013
83	5123	975
84	5171	912
85	5217	849
86	5275	788
87	5321	725
88	5376	664
89	5417	601
90	5464	540
91	5514	479
92	5573	419
93	5619	358
94	5669	298
95	5721	238
96	5775	178
97	5847	119
98	5944	60
99	6010	0
